region,amplitude_A,frequency_THz,is_baseline,frame_count,mean_dislocation_density_A-2,delta_dislocation_density_A-2_vib_minus_base,reduction_dislocation_density_A-2_percent,mean_segment_number_density_A-3,delta_segment_number_density_A-3_vib_minus_base,reduction_segment_number_density_A-3_percent,mean_shockley_density_A-2,delta_shockley_density_A-2_vib_minus_base,reduction_shockley_density_A-2_percent,mean_perfect_density_A-2,delta_perfect_density_A-2_vib_minus_base,reduction_perfect_density_A-2_percent,mean_stair_rod_density_A-2,delta_stair_rod_density_A-2_vib_minus_base,reduction_stair_rod_density_A-2_percent,mean_hirth_density_A-2,delta_hirth_density_A-2_vib_minus_base,reduction_hirth_density_A-2_percent,mean_frank_density_A-2,delta_frank_density_A-2_vib_minus_base,reduction_frank_density_A-2_percent,mean_other_density_A-2,delta_other_density_A-2_vib_minus_base,reduction_other_density_A-2_percent,mean_hcp_fraction,delta_hcp_fraction_vib_minus_base,reduction_hcp_fraction_percent,mean_other_atom_fraction,delta_other_atom_fraction_vib_minus_base,reduction_other_atom_fraction_percent
elastic,,,1,91,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan
elastic,0.1,0.5,0,91,7.510653485169414e-05,7.510653485169414e-05,nan,1.0110667406225137e-05,1.0110667406225137e-05,nan,5.05304363496957e-05,5.05304363496957e-05,nan,2.1237583872256065e-05,2.1237583872256065e-05,nan,0.0,0.0,nan,1.6762041383344951e-06,1.6762041383344951e-06,nan,0.0,0.0,nan,1.6623104914078832e-06,1.6623104914078832e-06,nan,0.00010093610093610093,0.00010093610093610093,nan,0.1293024013024013,0.1293024013024013,nan
elastic,0.1,0.8,0,91,6.774521808841386e-05,6.774521808841386e-05,nan,8.79489562048351e-06,8.79489562048351e-06,nan,4.652629587106892e-05,4.652629587106892e-05,nan,2.0915285344112913e-05,2.0915285344112913e-05,nan,0.0,0.0,nan,3.036368732320244e-07,3.036368732320244e-07,nan,0.0,0.0,nan,0.0,0.0,nan,0.00011151811151811152,0.00011151811151811152,nan,0.12995115995115994,0.12995115995115994,nan
elastic,0.1,1.0,0,91,2.4434257784004694e-05,2.4434257784004694e-05,nan,3.324055037663059e-06,3.324055037663059e-06,nan,1.5384757955082687e-05,1.5384757955082687e-05,nan,9.049499828922007e-06,9.049499828922007e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,7.163207163207163e-05,7.163207163207163e-05,nan,0.13496296296296295,0.13496296296296295,nan
elastic,0.1,1.2,0,91,2.4153292690833068e-05,2.4153292690833068e-05,nan,3.1163015978091175e-06,3.1163015978091175e-06,nan,9.721657037234741e-06,9.721657037234741e-06,nan,1.4431635653598327e-05,1.4431635653598327e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,3.5002035002035e-05,3.5002035002035e-05,nan,0.1283988603988604,0.1283988603988604,nan
elastic,0.1,1.5,0,91,0.0002599714134853542,0.0002599714134853542,nan,2.624618456821457e-05,2.624618456821457e-05,nan,0.0002069607286578697,0.0002069607286578697,nan,5.301068482748452e-05,5.301068482748452e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0006202686202686202,0.0006202686202686202,nan,0.12504517704517704,0.12504517704517704,nan
elastic,0.2,0.5,0,91,2.1204708322563237e-05,2.1204708322563237e-05,nan,2.4930412782472944e-06,2.4930412782472944e-06,nan,1.4288231308843604e-05,1.4288231308843604e-05,nan,6.9164770137196325e-06,6.9164770137196325e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,5.535205535205535e-05,5.535205535205535e-05,nan,0.13423524623524624,0.13423524623524624,nan
elastic,0.2,0.8,0,91,6.143740858097111e-05,6.143740858097111e-05,nan,7.963881861067746e-06,7.963881861067746e-06,nan,5.606696455317635e-05,5.606696455317635e-05,nan,4.17797228511166e-06,4.17797228511166e-06,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,1.1924717426831177e-06,1.1924717426831177e-06,nan,0.00019943019943019944,0.00019943019943019944,nan,0.1414171754171754,0.1414171754171754,nan
elastic,0.2,1.0,0,91,0.00012240948960568417,0.00012240948960568417,nan,1.1564941485202728e-05,1.1564941485202728e-05,nan,9.67515438979119e-05,9.67515438979119e-05,nan,2.502410882359126e-05,2.502410882359126e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,6.338368841810142e-07,6.338368841810142e-07,nan,0.00025396825396825396,0.00025396825396825396,nan,0.1425925925925926,0.1425925925925926,nan
elastic,0.2,1.2,0,91,8.99189597170354e-05,8.99189597170354e-05,nan,1.1218685752112823e-05,1.1218685752112823e-05,nan,4.0732630569680024e-05,4.0732630569680024e-05,nan,4.8013664944621225e-05,4.8013664944621225e-05,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,1.1726642027341552e-06,1.1726642027341552e-06,nan,0.00013756613756613756,0.00013756613756613756,nan,0.1396043956043956,0.1396043956043956,nan
