region,amplitude_A,frequency_THz,is_baseline,coordinate_treatment,analysis_stage,filename,frame,timestep,time_ps,strain_xy,cell_volume_A3,total_line_length_A,dislocation_density_A-2,dislocation_density_m-2,segment_count,segment_number_density_A-3,segment_number_density_m-3,shockley_length_A,perfect_length_A,stair_rod_length_A,hirth_length_A,frank_length_A,other_length_A,shockley_density_A-2,perfect_density_A-2,stair_rod_density_A-2,hirth_density_A-2,frank_density_A-2,other_density_A-2,fcc_count,hcp_count,other_atom_count,hcp_fraction,other_atom_fraction,coherent_correction_applied,has_PE,has_KE
flow,,,1,registered,before,flow_dump_baseline.wave,1850,185000,185.0,0.185,158683.45183699526,1770.9809438653253,0.011160463951115293,1.1160463951115293e+18,119,0.0007499206667261097,7.499206667261097e+26,1297.12252183778,28.60183354069079,189.5319617831269,92.22052166892037,0.0,163.50410503480649,0.008174277196655803,0.0001802445888943197,0.0011944028163555468,0.0005811602949225749,0.0,0.0010303790542870415,5567,3883,4050,0.2876296296296296,0.3,0,1,1
flow,,,1,registered,before,flow_dump_baseline.wave,1855,185500,185.5,0.1855,158683.4518369953,3383.9863819718844,0.021325389275297736,2.1325389275297736e+18,122,0.0007688262297528182,7.688262297528183e+26,2403.624411859757,30.09599317023224,257.68346342399263,173.2102299514588,0.0,519.3722835664439,0.015147290936983377,0.0001896605652437395,0.0016238836529009549,0.001091545639739334,0.0,0.003273008480430333,5558,3889,4053,0.2880740740740741,0.3002222222222222,0,1,1
flow,,,1,registered,before,flow_dump_baseline.wave,1860,186000,186.0,0.186,158683.45183699526,3084.2454215956404,0.019436465402604654,1.9436465402604654e+18,115,0.0007247132493571648,7.247132493571648e+26,2392.6917995872714,28.08516566954618,213.67262835691233,121.91165089474438,0.0,327.8841770871657,0.015078395206862032,0.00017698862322705307,0.0013465337808280331,0.0007682694665602306,0.0,0.0020662783251273035,5547,3836,4117,0.28414814814814815,0.30496296296296294,0,1,1
flow,,,1,registered,before,flow_dump_baseline.wave,1865,186500,186.5,0.1865,158683.45183699526,1715.8160866291587,0.010812823056002716,1.0812823056002716e+18,117,0.0007373169580416372,7.373169580416372e+26,1199.3268708359037,34.75692026573594,166.95160702138315,114.95495837589927,0.0,199.8257301302363,0.007557983248737813,0.000219033048899386,0.0010521047096510177,0.0007244294036027443,0.0,0.0012592726451117519,5551,3835,4114,0.2840740740740741,0.30474074074074076,0,1,1
flow,,,1,registered,before,flow_dump_baseline.wave,1870,187000,187.0,0.187,158683.45183699526,3746.515729059031,0.023609996415426937,2.360999641542694e+18,122,0.0007688262297528183,7.688262297528184e+26,2669.6612349944303,67.29543329096084,290.3148375138662,233.5081810805554,0.0,485.7360421792197,0.01682381624604935,0.0004240860184973092,0.0018295218194023593,0.0014715345448901786,0.0,0.0030610377865877493,5542,3876,4082,0.2871111111111111,0.30237037037037034,0,1,1
flow,,,1,registered,before,flow_dump_baseline.wave,1875,187500,187.5,0.1875,158683.45183699526,4031.9157533229495,0.025408545797608834,2.540854579760883e+18,117,0.0007373169580416372,7.373169580416372e+26,2923.8452368859384,56.51356683311068,241.3431332365773,180.6062191707086,0.0,629.6075971966162,0.018425646802096327,0.0003561402665424951,0.0015209092721558183,0.0011381540865157958,0.0,0.003967695370298406,5521,3844,4135,0.28474074074074074,0.3062962962962963,0,1,1
flow,,,1,registered,before,flow_dump_baseline.wave,1880,188000,188.0,0.188,158683.45183699526,2207.438955257207,0.013910958765409006,1.3910958765409006e+18,117,0.0007373169580416372,7.373169580416372e+26,1579.0132748802719,38.07872710460984,201.6777066333494,129.05410717202855,0.0,259.61513946694714,0.00995071166275287,0.0002399665917510134,0.0012709435312796146,0.0008132801856654661,0.0,0.0016360567939600417,5532,3837,4131,0.2842222222222222,0.306,0,1,1
flow,,,1,registered,before,flow_dump_baseline.wave,1885,188500,188.5,0.1885,158683.45183699526,3270.675732453659,0.020611322066609705,2.0611322066609705e+18,114,0.0007184113950149286,7.184113950149286e+26,2392.435346385384,28.274712296442374,182.59055098642744,222.14351717865043,0.0,445.23160560675643,0.015076779076138138,0.0001781831184608151,0.001150659056585121,0.0013999160883319036,0.0,0.0028057847270937402,5511,3845,4144,0.2848148148148148,0.30696296296296294,0,1,1
flow,,,1,registered,before,flow_dump_baseline.wave,1890,189000,189.0,0.189,158683.4518369953,2319.0385074283545,0.014614242887850366,1.4614242887850365e+18,121,0.000762524375410582,7.62524375410582e+26,1683.9153724316338,27.977344625827367,172.3103125182303,113.90323858592552,0.0,320.93223926673784,0.010611789401716604,0.00017630915071450921,0.0010858744911550887,0.0007178016186774823,0.0,0.002022468225586684,5487,3830,4183,0.2837037037037037,0.3098518518518519,0,1,1
flow,,,1,registered,before,flow_dump_baseline.wave,1895,189500,189.5,0.1895,158683.45183699526,2623.6004907591323,0.016533548144983506,1.6533548144983506e+18,117,0.0007373169580416372,7.373169580416372e+26,1908.345767433478,61.037302139379264,199.984175270838,118.57414095790655,0.0,335.65910495752996,0.012026117060988767,0.0003846481875254311,0.001260271143309059,0.0007472369650725125,0.0,0.002115274788087732,5480,3857,4163,0.2857037037037037,0.30837037037037035,0,1,1
